Timestamp,Accelerometer,Encoder,Potentiometer,Pushbutton,Switch
143871,284,1058,487,0,1
143937,284,1058,487,0,1
144036,287,1058,487,0,1
144102,286,1058,487,0,1
144168,283,1058,487,0,1
144234,285,1058,487,0,1
144339,288,1058,487,0,1
144416,290,1058,487,0,1
144481,289,1058,487,0,1
144552,287,1058,487,0,1
144618,288,1058,487,0,1
144684,289,1058,487,0,1
144749,290,1058,487,0,1
144848,287,1058,487,0,1
144914,287,1058,487,0,1
144980,286,1058,487,0,1
145053,287,1058,487,0,1
145119,286,1058,487,0,1
145240,287,1058,487,0,1
145306,287,1058,487,0,1
145392,287,1058,487,0,1
145459,287,1058,487,0,1
145529,287,1058,487,0,1
145602,284,1058,487,0,1
145668,283,1058,487,0,1
145738,282,1058,487,0,1
145805,282,1058,487,0,1
145873,286,1058,487,0,1
145944,286,1058,487,0,1
146010,292,1058,487,0,1
146081,292,1058,487,0,1
146148,289,1058,487,0,1
146251,285,1058,487,0,1
146318,285,1058,487,0,1
146386,286,1058,487,0,1
146454,287,1058,487,0,1
146527,287,1058,487,0,1
146598,288,1058,487,0,1
146665,287,1058,487,0,1
146766,286,1058,487,0,1
146837,286,1058,487,0,1
146904,285,1058,487,0,1
146972,285,1058,487,0,1
147039,285,1058,487,0,1
147112,286,1058,487,0,1
147179,288,1058,487,0,1
147285,289,1058,487,0,1
147354,287,1058,487,0,1
147427,287,1058,487,0,1
147494,289,1058,487,0,1
147561,288,1058,487,0,1
147630,286,1058,487,0,1
147697,286,1058,487,0,1
147810,287,1058,487,0,1
147877,289,1058,487,0,1
147944,290,1058,487,0,1
148011,291,1058,487,0,1
148077,289,1058,487,0,1
148143,290,1058,487,0,1
148210,290,1058,487,0,1
148308,288,1058,487,0,1
148375,290,1058,487,0,1
148441,289,1058,487,0,1
148506,286,1058,487,0,1
148605,285,1058,487,0,1
148671,282,1058,487,0,1
148737,283,1058,487,0,1
148803,286,1058,487,0,1
148870,286,1058,487,0,1
148903,286,1058,487,0,1
148969,288,1058,487,0,1
149036,288,1058,487,0,1
149102,287,1058,487,0,1
149170,288,1058,487,0,1
149269,288,1058,487,0,1
149336,288,1058,487,0,1
149403,288,1058,487,0,1
149469,286,1058,487,0,1
149567,284,1058,487,0,1
149633,283,1058,487,0,1
149699,282,1058,487,0,1
149767,284,1058,487,0,1
149833,283,1058,487,0,1
149931,285,1058,487,0,1
149997,289,1058,487,0,1
150063,293,1058,487,0,1
150129,296,1058,487,0,1
150227,297,1058,487,0,1
150292,296,1058,487,0,1
150359,296,1058,487,0,1
150425,295,1058,487,0,1
150523,295,1058,487,0,1
150588,295,1058,487,0,1
150654,292,1058,487,0,1
150719,292,1058,487,0,1
150786,292,1058,487,0,1
150818,292,1058,487,0,0
150884,288,1058,487,0,1
150950,280,1058,487,0,1
151016,270,1058,487,0,1
151082,28,1058,487,0,1
151181,295,1058,487,0,1
151247,301,1058,487,0,1
151313,310,1058,487,0,1
151397,318,1058,487,0,1
151466,325,1058,487,0,1
151532,324,1058,487,0,1
151598,323,1058,487,0,1
151697,310,1058,487,0,1
151762,297,1058,487,0,1
151829,284,1058,487,0,1
151895,262,1058,487,0,1
151993,253,1058,487,0,1
152060,268,1058,487,0,1
152125,266,1058,487,0,1
152191,265,1058,487,0,1
152289,276,1058,487,0,1
152355,290,1058,487,0,1
152421,304,1058,487,0,1
152487,317,1058,487,0,1
152553,317,1058,487,0,1
152586,317,1058,487,0,0
152651,305,1058,487,0,1
152716,298,1058,487,0,1
152784,299,1058,487,0,1
152849,299,1058,487,0,1
152882,299,1058,487,0,0
152948,297,1058,487,0,1
153014,296,1058,487,0,1
153081,295,1058,487,0,1
153147,290,1058,487,0,1
153246,291,1058,487,0,1
153311,293,1058,487,0,1
153378,298,1058,487,0,1
153443,296,1058,487,0,1
153542,298,1058,487,0,1
153608,298,1058,487,0,1
153673,299,1058,487,0,1
153739,299,1058,487,0,1
153838,298,1058,487,0,1
153903,298,1058,487,0,1
153969,298,1058,487,0,1
154034,298,1058,487,0,1
154100,298,1058,487,0,1
154133,298,1058,487,0,1
154198,299,1058,487,0,1
154265,301,1058,487,0,1
154332,300,1058,487,0,1
154397,300,1058,48,0,1
154430,300,1058,48,0,1
154496,299,1058,487,0,1
154562,298,1058,487,0,1
154627,297,1058,487,0,1
154693,299,1058,487,0,1
154791,299,1058,487,0,1
154857,298,1058,487,0,1
154923,295,1058,487,0,1
154988,292,1058,487,0,1
155088,289,1058,487,0,1
155155,287,1058,487,0,1
155221,287,1058,487,0,1
155287,288,1058,487,0,1
155388,288,1058,487,0,1
155454,289,1058,487,0,1
155521,289,1058,487,0,1
155588,291,1058,487,0,1
155654,292,1058,487,0,1
155761,290,1058,487,0,1
155828,291,1058,487,0,1
155896,290,1058,487,0,1
155962,289,1058,487,0,1
156029,288,1058,487,0,1
156098,289,1058,487,0,1
156168,290,1058,487,0,1
156277,289,1058,487,0,1
156358,291,1058,487,0,1
156431,292,1058,487,0,1
156497,289,1058,487,0,1
156563,289,1058,487,0,1
156629,289,1058,487,0,1
156695,289,1058,487,0,1
156761,290,1058,487,0,1
156827,290,1058,487,0,1
156926,290,1058,487,0,1
156992,290,1058,487,0,1
157063,288,1058,487,0,1
157130,289,1058,487,0,1
157198,291,1058,487,0,1
157301,291,1058,487,0,1
157389,291,1058,487,0,1
157463,291,1058,487,0,1
157537,290,1058,487,0,1
157608,290,1058,487,0,1
157678,291,1058,487,0,1
157744,291,1058,487,0,1
157811,291,1058,487,0,1
157881,291,1058,487,0,1
157947,290,1058,487,0,1
158013,289,1058,487,0,1
158112,290,1058,487,0,1
158187,290,1058,487,0,1
158252,290,1058,487,0,1
158318,290,1058,487,0,1
158389,287,1058,487,0,1
158455,288,1058,487,0,1
158525,291,1058,487,0,1
158625,291,1058,487,0,1
158691,293,1058,487,0,1
158757,290,1058,487,0,1
158824,291,1058,487,0,1
158891,290,1058,487,0,1
158990,290,1058,487,0,1
159058,290,1058,487,0,1
159123,290,1058,487,0,1
159190,292,1058,487,0,1
159288,291,1058,487,0,1
159357,290,1058,487,0,1
159422,291,1058,487,0,1
159489,290,1058,487,0,1
159555,290,1058,487,0,1
159653,291,1058,487,0,1
159718,291,1058,487,0,1
159784,290,1058,487,0,1
159850,290,1058,487,0,1
159949,291,1058,487,0,1
160014,291,1060,487,0,1
160080,292,1062,487,0,1
160146,292,1063,487,0,1
160245,286,1065,487,0,1
160310,286,1067,487,0,1
160378,278,1069,487,0,1
160444,295,1070,487,0,1
160510,295,1071,487,0,1
160543,295,1071,487,0,1
160608,286,1073,487,0,1
160674,292,1074,487,0,1
160740,295,1075,487,0,1
160839,292,1076,487,0,1
160905,288,1078,487,0,1
160972,286,1079,487,0,1
161038,279,1081,487,0,1
161103,280,1083,487,0,1
161202,282,1085,487,0,1
161268,285,1087,487,0,1
161334,300,1087,487,0,1
161400,296,1089,487,0,1
161499,297,1091,487,0,1
161564,291,1092,487,0,1
161630,303,1093,487,0,1
161696,283,1093,487,0,1
161762,283,1093,487,0,1
161861,292,1093,487,0,1
161927,302,1095,487,0,1
161993,298,1098,487,0,1
162058,298,1100,487,0,1
162157,294,1101,487,0,1
162223,283,1104,487,0,1
162290,305,1106,487,0,1
162388,306,1107,487,0,1
162453,292,1108,487,0,1
162519,290,1111,487,0,1
162585,293,1113,487,0,1
162651,298,1114,487,0,1
162750,296,1116,487,0,1
162816,288,1118,487,0,1
162882,288,1119,487,0,1
162947,282,1121,487,0,1
163046,288,1121,487,0,1
163112,291,1121,487,0,1
163178,298,1123,487,0,1
163244,296,1125,487,0,1
163310,296,1127,48,0,1
163349,296,1127,48,0,1
163430,294,1129,487,0,1
163496,292,1131,487,0,1
163562,282,1132,487,0,1
